"","address","frequency","lon","lat","result"
"65","Abilene, Texas",1,-99.7331439,32.4487364,"100-148 S Pine St, Abilene, TX 79601, USA"
"66","Abilene, TX",3,-99.7331439,32.4487364,"100-148 S Pine St, Abilene, TX 79601, USA"
"67","ABQ",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"68","Absecon, NJ",2,-74.4957076,39.4284503,"246 N Shore Rd, Absecon, NJ 08201, USA"
"69","Abu Dhabi - EAU",1,54.3773438,24.453884,"Al Bateen Airport VVIP Lounge - Abu Dhabi - United Arab Emirates"
"70","Acme, PA",1,-79.4287878,40.1265877,"370 Acme Dam Rd, Acme, PA 15610, USA"
"71","Across USA",1,-118.2459462,33.8617207,"1460 Beachey Pl, Carson, CA 90746, USA"
"72","Acworth, GA",1,-84.6768796,34.0659329,"4807 Old 41 Hwy NW, Acworth, GA 30101, USA"
"73","ACWORTH, GA",1,-84.6768796,34.0659329,"4807 Old 41 Hwy NW, Acworth, GA 30101, USA"
"74","Ada, OK",4,-96.6783449,34.774531,"104 E Main, Ada, OK 74820, USA"
"75","Adel, IA",1,-94.017453,41.6144325,"312 Nile Kinnick Dr S, Adel, IA 50003, USA"
"76","Adrian",1,-84.0371659,41.8975471,"1416 S Main St, Adrian, MI 49221, USA"
"77","Águas Claras, DF",3,-48.0258046,-15.8372013,"Unnamed Road - Águas Claras, Brasília - DF, 70297-400, Brazil"
"78","Ahwatukee, Arizona",1,-112.0357137,33.3122624,"14835 S Foxtail Ln, Phoenix, AZ 85048, USA"
"79","Aiken County, SC",2,-81.6035062,33.6005783,"1215 New Bridge Rd, Aiken, SC 29805, USA"
"80","Aiken, SC",1,-81.7195533,33.5604168,"540 beaverdam Rd, Aiken, SC 29801, USA"
"81","Ajax, ON.",1,-79.0203732,43.8508553,"65 Harwood Ave S, Ajax, ON L1S 2H9, Canada"
"82","Akron, OH",3,-81.5190053,41.0814447,"2 W Bowery St, Akron, OH 44308, USA"
"83","Akron, Ohio",1,-81.5190053,41.0814447,"2 W Bowery St, Akron, OH 44308, USA"
"84","Alabama",9,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"85","Alabama, Auburn",1,-85.4807825,32.6098566,"224 N College St, Auburn, AL 36830, USA"
"86","Alabama, United States",1,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"87","Alabama, USA",16,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"88","Alaska",1,-149.4936733,64.2008413,"Healy, AK, USA"
"89","Alaska, USA",6,-122.3371809,48.4370202,"315 E College Way, Mt Vernon, WA 98273, USA"
"90","Albany NY",3,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"91","Albany, GA",3,-84.155741,31.5785074,"323-399 Pine Ave, Albany, GA 31701, USA"
"92","Albany, NY",4,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"93","Albany, NY ",1,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"94","Albany, OR",1,-123.1059282,44.6365107,"125 2nd Avenue, Albany, OR 97321, USA"
"95","Albuquerque, N.M.",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"96","Albuquerque, New Mexico",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"97","Albuquerque, New Mexico USA",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"98","Albuquerque, NM",3,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"99","Albuquerque, NM USA",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"100","Albuquerque, NM, USA",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"101","Alcatraz ",1,-122.4229555,37.8269775,"Alcatraz Main Cell House, Pier 39, San Francisco, CA 94133, USA"
"102","Alexander City, AL",1,-85.9538532,32.944012,"63 Court Square, Alexander City, AL 35010, USA"
"103","Alexandria, LA",2,-92.4451371,31.3112936,"934 3rd St, Alexandria, LA 71301, USA"
"104","Alexandria, VA",4,-77.0469214,38.8048355,"628 King St, Alexandria, VA 22314, USA"
"105","Alexandria, Virginia",2,-77.0469214,38.8048355,"628 King St, Alexandria, VA 22314, USA"
"106","Allentown, PA",1,-75.4714098,40.6022939,"640 Hamilton St, Allentown, PA 18101, USA"
"107","Almost Heaven, West Virginia",1,-82.0205321,37.9183745,"297 Co Hwy 3/05, Chapmanville, WV 25508, USA"
"108","Alpena Michigan",2,-83.4327528,45.0616794,"124 E Chisholm St, Alpena, MI 49707, USA"
"109","ALPHA Woman",1,-82.141037,29.188375,"118 N Pine Ave, Ocala, FL 34475, USA"
"110","Alpharetta, GA",5,-84.2940899,34.0753762,"10405 Old Roswell Rd, Alpharetta, GA 30022, USA"
"111","Alsip, IL",1,-87.7386619,41.6689223,"Cicero/123rd, Alsip, IL 60803, USA"
"112","Altamonte Springs, FL",1,-81.3656242,28.6611089,"201 Maitland Ave, Altamonte Springs, FL 32701, USA"
"113","Altoona, PA",1,-78.3947359,40.5186809,"120 forgas lane, Altoona, PA 16601, USA"
"114","Alvarado, Ver.",1,-95.758949,18.7696195,"Hermenegildo Galeana 23, Zona Centro, 95270 Alvarado, Ver., Mexico"
"115","Alvin, TX",1,-95.2441009,29.4238472,"102 W Sealy St, Alvin, TX 77511, USA"
"116","Amarillo, TX",5,-101.8312969,35.2219971,"800 N Fillmore St, Amarillo, TX 79107, USA"
"117","America",5,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"118","Ames, IA",4,-93.6319131,42.0307812,"1327-1493 6th St, Ames, IA 50010, USA"
"119","Amherst, NH",1,-71.6253487,42.8614748,"148 Amherst St, Amherst, NH 03031, USA"
"120","Amherst, NY",1,-78.792272,42.9790067,"Sheridan Drive & Getzville Road, Amherst, NY 14226, USA"
"121","Amityville, NY",1,-73.4170673,40.6789893,"227 Broadway, Amityville, NY 11701, USA"
"122","anadarko ",1,-98.2436625,35.072562,"100-182 E Central Blvd, Anadarko, OK 73005, USA"
"123","Anderson, SC",1,-82.6501332,34.5034394,"100-110 E Whitner St, Anderson, SC 29621, USA"
"124","Andrews, TX",1,-102.5457155,32.3187158,"106 E Broadway St, Andrews, TX 79714, USA"
"125","Angie, LA",1,-89.8095208,30.9665729,"64460 Main St, Angie, LA 70426, USA"
"126","Angola ",1,17.873887,-11.202692,"Quirima, Angola"
"127","Ankeny, IA",1,-93.6001278,41.7317884,"101 S Ankeny Blvd, Ankeny, IA 50023, USA"
"128","Ann Arbor",1,-83.7430378,42.2808256,"425 E Washington St, Ann Arbor, MI 48104, USA"
"129","Ann Arbor, MI",12,-83.7430378,42.2808256,"425 E Washington St, Ann Arbor, MI 48104, USA"
"130","Annapolis",1,-76.4921829,38.9784453,"236 Main St, Annapolis, MD 21401, USA"
"131","Annapolis, Maryland",2,-76.4921829,38.9784453,"236 Main St, Annapolis, MD 21401, USA"
"132","Annapolis, MD",4,-76.4921829,38.9784453,"236 Main St, Annapolis, MD 21401, USA"
"133","Annapolis, Md.",2,-76.4921829,38.9784453,"236 Main St, Annapolis, MD 21401, USA"
"134","Anniston, AL",1,-85.8316318,33.6598257,"1200 Gurnee Ave, Anniston, AL 36201, USA"
"135","Antigo, WI",2,-89.1523353,45.140245,"POBox 126, Antigo, WI 54409, United States"
"136","Antioch, CA",1,-121.805789,38.0049214,"1715 E 18th St, Antioch, CA 94509, USA"
"137","Antioch, IL",1,-88.0956396,42.4772418,"939 Main St, Antioch, IL 60002, USA"
"138","Antonio",3,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"139","Anytown, USA",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"140","Anywhere USA",1,-75.3136357,39.9856733,"101 W Eagle Rd, Havertown, PA 19083, USA"
"141","Anywhere, NC ",1,-78.5840939,35.8702581,"7041 Old Wake Forest Rd, Raleigh, NC 27616, USA"
"142","Apopka",1,-81.5322149,28.6934076,"644 Lexington Pkwy, Apopka, FL 32712, USA"
"143","Appalachia ",1,-81.0767514,36.9051526,"Unnamed Road, Wytheville, VA 24382, USA"
"144","Appleton, WI",2,-88.4153847,44.2619309,"638 W College Ave, Appleton, WI 54911, USA"
"145","Aptos hills, CA",2,-121.8391808,36.9637177,"310 Emerald City Way, Watsonville, CA 95076, USA"
"146","Arcadia, CA",1,-118.0353449,34.1397292,"100 W Huntington Dr, Arcadia, CA 91007, USA"
"147","Arcata, CA",1,-124.0828396,40.8665166,"700 D St, Arcata, CA 95521, USA"
"148","Ardmore, OK",1,-97.1436254,34.1742611,"107137 S Commerce St, Ardmore, OK 73401, USA"
"149","Area 51",2,-115.8018432,37.2371623,"Unnamed Road, Nevada, USA"
"150","argyle, tx",1,-97.1833475,33.1212321,"1301 US-377, Argyle, TX 76226, USA"
"151","Arizona, USA",15,-111.0937311,34.0489281,"Young, AZ 85554, USA"
"152","arkansas",1,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"153","Arkansas",15,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"154","Arkansas ",2,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"155","Arkansas, USA",19,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"156","arKANsas<U+0001F92A>",1,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"157","Arlington Heights, IL",1,-87.9806265,42.0883603,"112 E Euclid Ave, Arlington Heights, IL 60004, USA"
"158","Arlington Tx ",1,-97.1080656,32.735687,"101 W Abram St, Arlington, TX 76010, USA"
"159","Arlington, MA",2,-71.1564729,42.4153925,"730 Massachusetts Ave, Arlington, MA 02476, USA"
"160","Arlington, TX",6,-97.1080656,32.735687,"101 W Abram St, Arlington, TX 76010, USA"
"161","Arlington, VA",26,-77.0909809,38.8816208,"715 N Edgewood St, Arlington, VA 22201, USA"
"162","Arlington, VA ",1,-77.0909809,38.8816208,"715 N Edgewood St, Arlington, VA 22201, USA"
"163","Arnold, MO",1,-90.3776187,38.4328317,"1532 Jeffco Blvd, Arnold, MO 63010, USA"
"164","Arvada, CO",2,-105.0874842,39.8027644,"8101 Ralston Rd, Arvada, CO 80002, USA"
"165","Asbury Park, NJ",3,-74.0120817,40.2203907,"715 Main St, Asbury Park, NJ 07712, USA"
"166","Asheboro, NC",1,-79.8136446,35.7079146,"224 N Fayetteville St, Asheboro, NC 27203, USA"
"167","Asheville, NC",17,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"168","Asheville, North Carolina ",1,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"169","Ashland, OH",1,-82.3182178,40.8686675,"657, Ashland, OH 44805, United States"
"170","Ashland, OR",1,-122.7094767,42.1945758,"1167 Ashland St, Ashland, OR 97520, USA"
"171","Ashland, OR, USA",1,-122.7094767,42.1945758,"1167 Ashland St, Ashland, OR 97520, USA"
"172","Astoria, OR",1,-123.8312534,46.1878841,"1132 Exchange St, Astoria, OR 97103, USA"
"173","Astoria, Oregon",2,-123.8312534,46.1878841,"1132 Exchange St, Astoria, OR 97103, USA"
"174","Astoria, Oregon.",1,-123.8312534,46.1878841,"1132 Exchange St, Astoria, OR 97103, USA"
"175","at the gates of Valhalla",1,-92.376441,38.967015,"2525 Bernadette Dr, Columbia, MO 65203, USA"
"176","Athens, Al 35611",1,-87.0824045,34.761354,"Athens, AL 35611, USA"
"177","Athens, GA",6,-83.357567,33.9519347,"704 Branch St, Athens, GA 30601, USA"
"178","Athens, OH",2,-82.1012554,39.3292396,"5 N Court St, Athens, OH 45701, USA"
"179","Atkins, Arkansas",1,-92.9365581,35.2464719,"409 Ave 1 NE, Atkins, AR 72823, USA"
"180","atl",1,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"181","Atl",2,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"182","ATL",7,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"183","ATL ",2,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"184","Atlanta",9,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"185","Atlanta ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"186","Atlanta , GA ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"187","Atlanta Ga",3,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"188","Atlanta GA",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"189","Atlanta GA ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"190","Atlanta, Ga",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"191","Atlanta, GA",106,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"192","Atlanta, GA ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"193","Atlanta, GA -- Baton Rouge,LA",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"194","Atlanta, GA, USA",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"195","Atlanta, Georgia",4,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"196","Atlanta, Georgia ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"197","Atlanta, Georgia USA",4,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"198","Atlanta,GA",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"199","atlanta.",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"200","Atmore, AL",1,-87.4938708,31.0237921,"101 Main St, Atmore, AL 36502, USA"
"201","Auburn, AL",3,-85.4807825,32.6098566,"224 N College St, Auburn, AL 36830, USA"
"202","Auburn, NY",3,-76.5660529,42.9317335,"74 Genesee St, Auburn, NY 13021, USA"
"203","Auburn, WA",1,-122.2284532,47.3073228,"102 E Main St, Auburn, WA 98002, USA"
"204","Augusta County, Virginia",1,-79.2451149,38.2004562,"Leverock Ln, Swoope, VA 24479, USA"
"205","Augusta, GA",4,-82.0105148,33.4734978,"1010 Hickman Rd, Augusta, GA 30904, USA"
"206","Augusta, Maine",1,-69.7794897,44.3106241,"25 Memorial Cir, Augusta, ME 04330, USA"
"207","Aurora, CO",4,-104.8319195,39.7294319,"899 Vaughn St, Aurora, CO 80011, USA"
"208","Aurora, IL",2,-88.3200715,41.7605849,"299 W Galena Blvd, Aurora, IL 60506, USA"
"209","Aurora, Illinois",1,-88.3200715,41.7605849,"299 W Galena Blvd, Aurora, IL 60506, USA"
"210","Aurora,IL",1,-88.3200715,41.7605849,"299 W Galena Blvd, Aurora, IL 60506, USA"
"211","austin",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"212","Austin",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"213","Austin ",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"214","Austin area, TX",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"215","Austin Texas",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"216","Austin tx",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"217","Austin TX",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"218","Austin TX, Las Vegas NV, NYC",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"219","Austin,",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"220","Austin, Texas",12,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"221","Austin, Texas ",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"222","Austin, Texas...ya'll",1,-97.7458169,30.2823812,"1805 West Ave, Austin, TX 78701, USA"
"223","Austin, Tx",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"224","Austin, TX",61,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"225","AUSTIN, TX",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"226","Austin, TX ",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"227","Austin, TX \ Kingsville, TX",1,-97.738176,30.272405,"1115 San Jacinto Blvd, Austin, TX 78701, USA"
"228","Austin, TX, USA",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"229","Austin,Texas",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"230","Australia",38,133.775136,-25.274398,"Ghan NT 0872, Australia"
"231","Australia ",1,133.775136,-25.274398,"Ghan NT 0872, Australia"
"232","Avon Indiana ",1,-86.3997167,39.7628227,"10724 E US Hwy 36, Avon, IN 46123, USA"
"233","Avon, CT",1,-72.8305154,41.8096201,"15 W Main St, Avon, CT 06001, USA"
"235","Aynor south Carolina",1,-79.1994874,33.9998881,"640 9th Ave, Aynor, SC 29511, USA"
"236","Ayrshire",7,-4.6679959,55.3649698,"B7024, Maybole KA19 8DH, UK"
"237","AZ/CA",1,-111.9688742,33.3953729,"1919 E Fairmont Dr, Tempe, AZ 85282, USA"
"238","Azle, TX",1,-97.5458565,32.8951262,"252 Locust St, Azle, TX 76020, USA"
"239","Aztec NM",1,-107.9928455,36.8222261,"107 N Mesa Verde Ave, Aztec, NM 87410, USA"
"242","Babcock, WI",1,-90.1113719,44.3030048,"1600 Pine St, Babcock, WI 54413, USA"
"243","BABYLON ",1,-90.6351037,38.7584424,"4736 Mid Rivers Mall Dr, Cottleville, MO 63376, USA"
"244","Backwoods Alabama",1,-85.4491291,34.0406553,"2686 County Rd 793, Centre, AL 35960, USA"
"245","Bahamas",4,-77.39628,25.03428,"Jubilee Boulevard, Nassau, The Bahamas"
"246","Bainbridge Island",2,-122.5210007,47.6248791,"103 Madison Ave N, Bainbridge Island, WA 98110, USA"
"247","Bakersfield, CA",3,-119.0187125,35.3732921,"1401-1499 Truxtun Ave, Bakersfield, CA 93301, USA"
"248","Bakersfield, California",2,-119.0187125,35.3732921,"1401-1499 Truxtun Ave, Bakersfield, CA 93301, USA"
"249","Bakersville",3,-82.1587351,36.0156735,"11 N Mitchell Ave, Bakersville, NC 28705, USA"
"250","Baltimore",4,-76.6121893,39.2903848,"201 E Fayette St, Baltimore, MD 21202, USA"
"251","Baltimore M.D",1,-76.6121893,39.2903848,"201 E Fayette St, Baltimore, MD 21202, USA"
"252","Baltimore, Maryland",3,-76.6121893,39.2903848,"201 E Fayette St, Baltimore, MD 21202, USA"
"253","Baltimore, MD",33,-76.6121893,39.2903848,"201 E Fayette St, Baltimore, MD 21202, USA"
"254","Baltimore,MD",1,-76.6121893,39.2903848,"201 E Fayette St, Baltimore, MD 21202, USA"
"255","Banana Republic",2,-95.9652358,36.1313997,"1709 Utica Square, Tulsa, OK 74114, USA"
"256","Bangor, ME",2,-68.7712257,44.8016128,"34 Hammond St, Bangor, ME 04401, USA"
"257","Barrie, Ontario",2,-79.6903316,44.3893556,"10 Dunlop St W, Barrie, ON L4N 1A2, Canada"
"258","Barrie, Ontario, Canada",2,-79.6903316,44.3893556,"10 Dunlop St W, Barrie, ON L4N 1A2, Canada"
"259","Barrington, IL",1,-88.1361888,42.1539141,"115 IL-59, Barrington, IL 60010, USA"
"260","Barrington, Nova Scotia",1,-65.5643972,43.5643397,"2133 Nova Scotia Trunk 3, Barrington, NS B0W 1E0, Canada"
"261","Bartlett, IL",1,-88.1856301,41.9950276,"112 N Oak Ave, Bartlett, IL 60103, USA"
"262","Bartlett, TN",1,-89.8739753,35.2045328,"5680 TN-15, Bartlett, TN 38134, USA"
"263","Basking Ridge, NJ",1,-74.5493284,40.7066174,"1 E Oak St, Basking Ridge, NJ 07920, USA"
"264","Batavia NY",2,-78.1875167,42.9981156,"440 Ellicott St, Batavia, NY 14020, USA"
"265","Batavia, IL",2,-88.3125738,41.8500284,"317 W Wilson St, Batavia, IL 60510, USA"
"266","baton rouge",2,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"267","Baton Rouge",1,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"268","Baton Rouge, LA",11,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"269","Baton Rouge, La.",1,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"270","baton rouge, louisiana",1,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"271","Baton Rouge, Louisiana",1,-91.1871466,30.4514677,"401 Main St, Baton Rouge, LA 70802, USA"
"272","Bay Area, CA",7,-122.2913078,37.8271784,"3768 Beach St, Oakland, CA 94608, USA"
"273","Bay Area, CA, USA",1,-122.2913078,37.8271784,"3768 Beach St, Oakland, CA 94608, USA"
"275","Bayside, Queens",2,-73.7654367,40.7585569,"215-42 46th Ave, Flushing, NY 11361, USA"
"276","Baytown, TX",5,-94.9774274,29.7355047,"810 W Texas Ave, Baytown, TX 77520, USA"
"277","BC, Canada",2,-127.6476205,53.7266683,"Bulkley-Nechako G, BC, Canada"
"278","bdg",3,-95.677068,37.0625,"County Rd 4300, Coffeyville, KS 67337, USA"
"279","BDG",2,-87.8242239,42.0557248,"2660 Golf Rd, Glenview, IL 60025, USA"
"280","BDL",1,-72.6860314,41.9388735,"Bradley International Airport (BDL), Schoephoester Rd, Windsor Locks, CT 06096, USA"
"281","Bealeton, VA",1,-77.767773,38.5830443,"6566 Lafayette Avenue, Bealeton, VA 22712, USA"
"282","Bear",1,-96.0459924,37.0550714,"565 Rd 28, Peru, KS 67360, USA"
"283","Beaufort, SC",1,-80.6698286,32.4315813,"210 Carteret St, Beaufort, SC 29902, USA"
"284","Beaumont, Texas",1,-94.1265562,30.080174,"88 Jaguar Dr, Beaumont, TX 77702, USA"
"285","Beaumont, TX",2,-94.1265562,30.080174,"88 Jaguar Dr, Beaumont, TX 77702, USA"
"286","Beaumont, TX / Del Rio, TX",1,-94.132971,30.097222,"2830 I-10 Frontage Rd, Beaumont, TX 77703, USA"
