"","address","frequency","lon","lat","result"
"38","<U+0001F4CC>Memphis<U+0001F4CD>",1,-89.937141,35.118741,"Unnamed Road, Memphis, TN 38111, USA"
"41","<U+0001F920> tx",1,-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA"
"43","<U+2728> mon café, mon guronsan <U+2728>",1,-80.390307,33.9577,"1293 Broad St, Sumter, SC 29150, USA"
"46","†«/3+",1,-95.6372785,37.0375471,"1314 W 7th St, Coffeyville, KS 67337, USA"
"47","1060 W. Addison",1,-87.6560538,41.9474473,"1053 W Waveland Ave, Chicago, IL 60613, USA"
"48","13",1,-90.0575079,29.962952,"517 Frenchmen St, New Orleans, LA 70116, USA"
"49","14",1,-87.5946271,37.9887844,"1115 Mt Auburn Rd, Evansville, IN 47720, USA"
"50","15",1,-96.0487619,36.3639365,"14415 N 52nd W Ave, Skiatook, OK 74070, USA"
"51","19010",1,-75.3237262,40.0252182,"20 N Roberts Rd, Bryn Mawr, PA 19010, USA"
"52","20001",1,-77.0190228,38.912068,"1628 5th St NW, Washington, DC 20001, USA"
"53","203",1,-88.1193763,41.755262,"1016 Stanton Dr, Naperville, IL 60540, USA"
"54","21230",1,-76.6239423,39.2635174,"299 W Dickman St, Baltimore, MD 21230, USA"
"55","225",1,-91.0864217,30.4172297,"9029 Jefferson Hwy, Baton Rouge, LA 70809, USA"
"56","25 - they/he - Fuck Town USA",1,12.8633177,48.0673299,"Fucking 6, 5121 Fucking, Austria"
"57","3",1,-95.6372785,37.0375471,"1314 W 7th St, Coffeyville, KS 67337, USA"
"59","3:10 to Yuma",1,-114.580099,32.6685938,"3220 S Florence Ln, Yuma, AZ 85365, USA"
"60","301",16,-95.706922,37.2256801,"301 N Pennsylvania Ave, Independence, KS 67301, USA"
"61","318-Louisiana",1,-92.4513737,31.2975552,"2011 Lee St, Alexandria, LA 71301, USA"
"63","336",2,-73.9824284,40.7821738,"336 West End Ave, New York, NY 10023, USA"
"65","401",1,-74.0027552,40.718954,"401 Broadway, New York, NY 10013, USA"
"66","409, Tx",1,-99.1289069,31.7141521,"409 W Spencer St, Bangs, TX 76823, USA"
"67","410",1,-94.1574552,36.0689461,"410 N College Ave, Fayetteville, AR 72701, USA"
"68","423, Tennessee",1,-81.9250213,36.5233127,"423 TN-133, Shady Valley, TN 37688, USA"
"69","443",1,-74.0093604,40.7230339,"443 Greenwich St, New York, NY 10013, USA"
"70","5",1,-96.120216,36.1052157,"5 W 41st St, Sand Springs, OK 74063, USA"
"71","501",2,-95.9410536,36.7523877,"3400 SE Frank Phillips Blvd, Bartlesville, OK 74006, USA"
"72","504",1,-94.8719177,36.8759146,"504 1st Ave NE, Miami, OK 74354, USA"
"75","601",1,-95.9877992,36.1509954,"601 S Boston Ave, Tulsa, OK 74119, USA"
"77","673 Lexington avenue at 56 str",1,-73.969511,40.7600764,"673 Lexington Ave, New York, NY 10022, USA"
"78","704",2,-97.7860636,30.2405598,"3401 S Lamar Blvd, Austin, TX 78704, USA"
"84","812",1,-122.1603312,37.7309694,"596 E 14th St, San Leandro, CA 94577, USA"
"85","859",1,-84.5180318,37.950927,"780 E Brannon Rd, Nicholasville, KY 40356, USA"
"87","904",1,-97.7497554,30.2737055,"904 West Ave, Austin, TX 78701, USA"
"88","910, nc",1,-78.849757,35.718399,"Norris Park, 910 S Hughes St, Apex, NC 27502, USA"
"90","9805 Brodie Lane, Austin, TX",1,-97.8466124,30.1858858,"9805 Brodie Ln, Austin, TX 78748, USA"
"91","9th Ward",2,-89.8692203,30.0895665,"Village De L'Est Area, New Orleans, LA 70129, USA"
"92","a music concert or denton",1,-97.150088,33.2107005,"Music Bldg, 415 Avenue C, Denton, TX 76201, USA"
"93","Abbeville SC",1,-82.3790147,34.1781719,"118 S Main St, Abbeville, SC 29620, USA"
"94","Abbeville, La",1,-92.1342921,29.9746502,"122 N St Charles St, Abbeville, LA 70510, USA"
"95","Abbeville, LA",1,-92.1342921,29.9746502,"122 N St Charles St, Abbeville, LA 70510, USA"
"96","Abbeville, SC",1,-82.3790147,34.1781719,"118 S Main St, Abbeville, SC 29620, USA"
"97","Aberdeen, MD",2,-76.1641197,39.5095556,"3 W Bel Air Ave, Aberdeen, MD 21001, USA"
"98","Aberdeen, MS",1,-88.5436553,33.8251139,"101 E Commerce St, Aberdeen, MS 39730, USA"
"99","Aberdeen, South Dakota",1,-98.4864829,45.4646985,"25 Market St, Aberdeen, SD 57401, USA"
"100","Abilene, TX",2,-99.7331439,32.4487364,"100-148 S Pine St, Abilene, TX 79601, USA"
"101","Above",1,-95.706858,37.224246,"125 N Pennsylvania Ave, Independence, KS 67301, USA"
"102","Ada, Ohio",1,-83.8227148,40.7694969,"130 S Main St, Ada, OH 45810, USA"
"103","Ada, OK",3,-96.6783449,34.774531,"104 E Main, Ada, OK 74820, USA"
"104","Addison",1,-96.8291685,32.96179,"15650 Addison Rd, Addison, TX 75001, USA"
"105","Addison, IL",1,-87.9889556,41.931696,"233 N Addison Rd, Addison, IL 60101, USA"
"106","Adel, IA",1,-94.017453,41.6144325,"312 Nile Kinnick Dr S, Adel, IA 50003, USA"
"107","Adel, Iowa",2,-94.017453,41.6144325,"312 Nile Kinnick Dr S, Adel, IA 50003, USA"
"108","Adirondacks, NY",1,-73.8693043,44.1247154,"Gothics Trek, Keene Valley, NY 12943, USA"
"109","Agawam, MA",2,-72.6148117,42.0695391,"2 School St, Agawam, MA 01001, USA"
"110","Agg Town, Tx",1,-99.9018131,31.9685988,"Froste Ln, Winters, TX 79567, USA"
"111","Aguscalientes, Ags.",1,-102.2915677,21.8852562,"20000, Calle Gral. Ignacio Zaragoza 419, Zona Centro, Aguascalientes, Ags., Mexico"
"112","AID ",1,-95.6406409,37.0404423,"1510 W 4th St, Coffeyville, KS 67337, USA"
"113","Aiken, SC",1,-81.7195533,33.5604168,"540 beaverdam Rd, Aiken, SC 29801, USA"
"114","Airdrie, Alberta",1,-114.0143635,51.2917005,"108 1 St NW, Airdrie, AB T4B 0R3, Canada"
"115","AK",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"116","Akron Ohio",1,-81.5190053,41.0814447,"2 W Bowery St, Akron, OH 44308, USA"
"117","Akron, NY",1,-78.4953015,43.0208924,"83 John St, Akron, NY 14001, USA"
"118","Akron, OH",5,-81.5190053,41.0814447,"2 W Bowery St, Akron, OH 44308, USA"
"119","Akron, OH ",1,-81.5190053,41.0814447,"2 W Bowery St, Akron, OH 44308, USA"
"120","alabama",1,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"121","Alabama",8,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"122","Alabama, USA",18,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"123","Alabama, USA ",2,-86.902298,32.3182314,"320 Co Rd 43, Tyler, AL 36785, USA"
"124","alachua",1,-82.3017728,29.6579549,"42 NE 18th St, Gainesville, FL 32641, USA"
"125","Alameda, CA",2,-122.2416355,37.7652065,"Av Cel Ernesto Bertaso, 464 Ed Alameda Jardins Sala 13 Subsolo 01, Centro Quilombo - SC, Alameda, CA 94501, United States"
"126","Alaska",3,-149.4936733,64.2008413,"Healy, AK, USA"
"127","Alaska, USA",5,-122.3371809,48.4370202,"315 E College Way, Mt Vernon, WA 98273, USA"
"128","Albany NY",1,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"129","Albany Oregon",1,-123.1059282,44.6365107,"125 2nd Avenue, Albany, OR 97321, USA"
"130","Albany, Ga",3,-84.155741,31.5785074,"323-399 Pine Ave, Albany, GA 31701, USA"
"131","Albany, NY",2,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"132","Albany, OR",1,-123.1059282,44.6365107,"125 2nd Avenue, Albany, OR 97321, USA"
"133","Albany/NY",1,-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA"
"134","Alberta",2,-116.5765035,53.9332706,"Yellowhead County, AB T0E, Canada"
"135","Alberta, Canada",1,-116.5765035,53.9332706,"Yellowhead County, AB T0E, Canada"
"136","Albion, IA",1,-92.9900403,42.1123909,"200 N Main St, Albion, IA 50005, USA"
"137","Albuquerque NM",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"138","Albuquerque, New Mexico",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"139","Albuquerque, NM",6,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"140","Albuquerque, NM ",2,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"141","Albuquerque, NM.<U+0001F32E>",1,-106.650422,35.0843859,"301 Central Ave NW, Albuquerque, NM 87102, USA"
"142","Aledo, IL",3,-90.7493063,41.1997568,"106 SW 3rd St, Aledo, IL 61231, USA"
"143","Alexandria, KY",1,-84.3879946,38.9595078,"8321 E Main St, Alexandria, KY 41001, USA"
"144","Alexandria, LA",2,-92.4451371,31.3112936,"934 3rd St, Alexandria, LA 71301, USA"
"145","Alexandria, Minnesota",1,-95.3776663,45.8848164,"630 Broadway St, Alexandria, MN 56308, USA"
"146","Alexandria, VA",2,-77.0469214,38.8048355,"628 King St, Alexandria, VA 22314, USA"
"147","Alexandria, VA & Middleburg, VA",1,-77.0469214,38.8048355,"628 King St, Alexandria, VA 22314, USA"
"148","Alice",51,-98.0697249,27.7522487,"Sylvia S Tax Service, Alice, TX 78332, United States"
"149","Aliquippa, PA",2,-80.2621852,40.615537,"1264 Sharon St, Aliquippa, PA 15001, USA"
"151","Allen, TX",7,-96.6705503,33.1031744,"112 W Main St, Allen, TX 75013, USA"
"152","allen, tx <U+21A0> norman, ok",1,-96.6705503,33.1031744,"112 W Main St, Allen, TX 75013, USA"
"153","Allentown PA",1,-75.4714098,40.6022939,"640 Hamilton St, Allentown, PA 18101, USA"
"154","Allentown, PA",2,-75.4714098,40.6022939,"640 Hamilton St, Allentown, PA 18101, USA"
"155","Alpharetta, GA",2,-84.2940899,34.0753762,"10405 Old Roswell Rd, Alpharetta, GA 30022, USA"
"156","Alpharetta/Johns Creek, GA",2,-84.2940899,34.0753762,"10405 Old Roswell Rd, Alpharetta, GA 30022, USA"
"157","Altadena, CA",1,-118.1313188,34.190162,"Altadena / Lake, Altadena, CA 91001, USA"
"158","Altamonte Springs, Florida",1,-81.3656242,28.6611089,"201 Maitland Ave, Altamonte Springs, FL 32701, USA"
"159","ALTON, IL.",1,-90.1842764,38.8906038,"101 E 3rd St, Alton, IL 62002, USA"
"160","Altus, OK",1,-99.3340442,34.637765,"102 W Broadway St, Altus, OK 73521, USA"
"161","Always travelling",1,-122.4085302,37.7870631,"247 Powell St, San Francisco, CA 94102, USA"
"162","Amarillo, texas",1,-101.8312969,35.2219971,"800 N Fillmore St, Amarillo, TX 79107, USA"
"163","Amarillo, TX",1,-101.8312969,35.2219971,"800 N Fillmore St, Amarillo, TX 79107, USA"
"164","america",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"165","America",4,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"166","Ames, IA",4,-93.6319131,42.0307812,"1327-1493 6th St, Ames, IA 50010, USA"
"167","Amherst, New Hampshire",1,-71.6253487,42.8614748,"148 Amherst St, Amherst, NH 03031, USA"
"168","Amherst, OH",1,-82.2223774,41.3978217,"221 Spring St, Amherst, OH 44001, USA"
"169","Amityville",1,-73.4170673,40.6789893,"227 Broadway, Amityville, NY 11701, USA"
"170","anaheim, ca",1,-117.9143012,33.8365932,"255 Anaheim Blvd, Anaheim, CA 92805, USA"
"171","Anaheim, CA",4,-117.9143012,33.8365932,"255 Anaheim Blvd, Anaheim, CA 92805, USA"
"172","Anahuac, Tx",1,-94.6826961,29.7730001,"411 TX-61, Anahuac, TX 77514, USA"
"173","Anderson, IN",1,-85.6802541,40.1053196,"30 W 11th St, Anderson, IN 46016, USA"
"174","Anderson, SC",1,-82.6501332,34.5034394,"100-110 E Whitner St, Anderson, SC 29621, USA"
"175","Andover MA",1,-71.1367953,42.6583356,"13 Summer St, Andover, MA 01810, USA"
"176","Andover, MA",1,-71.1367953,42.6583356,"13 Summer St, Andover, MA 01810, USA"
"177","Andrews, TX",1,-102.5457155,32.3187158,"106 E Broadway St, Andrews, TX 79714, USA"
"178","Angleton, TX",1,-95.4318847,29.16941,"604 N Velasco St, Angleton, TX 77515, USA"
"179","Angola",1,17.873887,-11.202692,"Quirima, Angola"
"180","Ankeny, IA",2,-93.6001278,41.7317884,"101 S Ankeny Blvd, Ankeny, IA 50023, USA"
"181","Ann Arbor, MI",2,-83.7430378,42.2808256,"425 E Washington St, Ann Arbor, MI 48104, USA"
"182","Ann Arbor, Michigan",1,-83.7430378,42.2808256,"425 E Washington St, Ann Arbor, MI 48104, USA"
"183","Annapolis, MD",1,-76.4921829,38.9784453,"236 Main St, Annapolis, MD 21401, USA"
"184","Anniston, AL",1,-85.8316318,33.6598257,"1200 Gurnee Ave, Anniston, AL 36201, USA"
"185","Anniston, Alabama",1,-85.8316318,33.6598257,"1200 Gurnee Ave, Anniston, AL 36201, USA"
"186","Anston",1,-1.2134069,53.357346,"1 Windermere Ct, North Anston, Sheffield S25 4GJ, UK"
"187","Antarctica",1,135,-82.862752,"Antarctica"
"190","Anywhere USA",1,-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA"
"191","Anywhere, NC ",1,-78.5840939,35.8702581,"7041 Old Wake Forest Rd, Raleigh, NC 27616, USA"
"192","Appalachia",1,-81.0767514,36.9051526,"Unnamed Road, Wytheville, VA 24382, USA"
"193","Apple Valley, MN",1,-93.21772,44.7319094,"7501 150th St W, Apple Valley, MN 55124, USA"
"194","Appleton, WI",1,-88.4153847,44.2619309,"638 W College Ave, Appleton, WI 54911, USA"
"195","Appleton, Wisconsin",2,-88.4153847,44.2619309,"638 W College Ave, Appleton, WI 54911, USA"
"196","Aransas Pass Texas",1,-97.1499898,27.9094677,"638 W Wheeler Ave, Aransas Pass, TX 78336, USA"
"197","Ardmore, OK",1,-97.1436254,34.1742611,"107137 S Commerce St, Ardmore, OK 73401, USA"
"198","area 51",1,-115.8018432,37.2371623,"Unnamed Road, Nevada, USA"
"199","Area 51",1,-115.8018432,37.2371623,"Unnamed Road, Nevada, USA"
"200","Area 51?",1,-115.8018432,37.2371623,"Unnamed Road, Nevada, USA"
"201","arg",1,-94.5861053,35.7644828,"Bell Rd, Stilwell, OK 74960, USA"
"202","Arizona",1,-111.0937311,34.0489281,"Young, AZ 85554, USA"
"203","Arizona & Pennsylvania",1,-111.0937311,34.0489281,"Young, AZ 85554, USA"
"204","Arizona, USA",33,-111.0937311,34.0489281,"Young, AZ 85554, USA"
"205","Arkadelphia, AR",1,-93.0537839,34.1209292,"600-698 AR-51, Arkadelphia, AR 71923, USA"
"206","Arkansas",3,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"207","Arkansas ",2,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"208","Arkansas, USA",15,-91.8318334,35.20105,"Rogers AR, 121 Peanut Ridge Rd, McRae, AR 72102, USA"
"209","Arlington Texas",1,-97.1080656,32.735687,"101 W Abram St, Arlington, TX 76010, USA"
"210","Arlington, Texas",2,-97.1080656,32.735687,"101 W Abram St, Arlington, TX 76010, USA"
"211","Arlington, TX",7,-97.1080656,32.735687,"101 W Abram St, Arlington, TX 76010, USA"
"212","Arlington, VA",5,-77.0909809,38.8816208,"715 N Edgewood St, Arlington, VA 22201, USA"
"213","Arlington, Va.",1,-77.0909809,38.8816208,"715 N Edgewood St, Arlington, VA 22201, USA"
"214","Around the Corner",1,-95.405859,37.921195,"102 S Washington Ave, Iola, KS 66749, USA"
"215","Arvin, CA",1,-118.833105,35.2017986,"5701 Franklin St, Arvin, CA 93203, USA"
"216","Asbury Park, NJ",1,-74.0120817,40.2203907,"715 Main St, Asbury Park, NJ 07712, USA"
"217","Asheboro, NC",6,-79.8136446,35.7079146,"224 N Fayetteville St, Asheboro, NC 27203, USA"
"218","Asheville",1,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"219","Asheville, NC",5,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"220","ASHEVILLE, NC",1,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"221","Asheville, NC ",1,-82.5514869,35.5950581,"2 S Pack Square, Asheville, NC 28801, USA"
"222","Ashland, OH",3,-82.3182178,40.8686675,"657, Ashland, OH 44805, United States"
"223","Ashville, NY",1,-79.3756044,42.096446,"2223 N Maple Ave, Ashville, NY 14710, USA"
"224","Ashwaubenon, WI",1,-88.0701033,44.4822137,"2520 S Oneida St, Green Bay, WI 54304, USA"
"225","Astoria, OR",2,-123.8312534,46.1878841,"1132 Exchange St, Astoria, OR 97103, USA"
"226","Astoria, Queens",2,-73.9234619,40.7643574,"31 St/31 Av, Queens, NY 11106, USA"
"227","ASTROWORLD, TX",1,-95.4075459,29.6774067,"260 Center Point Dr, Houston, TX 77054, USA"
"228","At a Sounders game.",1,-122.3324793,47.5989578,"157 S Jackson St, Seattle, WA 98104, USA"
"229","At the bar",1,-87.6572454,41.9477441,"3622 N Clark St, Chicago, IL 60613, USA"
"230","at the top",1,-118.1925777,33.7694514,"201 Pine Ave, Long Beach, CA 90802, USA"
"231","Athens GA",1,-83.357567,33.9519347,"704 Branch St, Athens, GA 30601, USA"
"232","Athens, AL",1,-86.9716741,34.8028661,"200 W Washington St, Athens, AL 35611, USA"
"233","Athens, GA",3,-83.357567,33.9519347,"704 Branch St, Athens, GA 30601, USA"
"234","Athens, GA, USA",1,-83.357567,33.9519347,"704 Branch St, Athens, GA 30601, USA"
"235","Athens, OH",4,-82.1012554,39.3292396,"5 N Court St, Athens, OH 45701, USA"
"236","atl",4,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"237","Atl",1,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"238","ATL",6,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"239","atl ",1,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"240","ATL  ",1,-84.4277001,33.6407282,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
"241","ATL, Georgia",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"242","ATL/Tampa",1,-82.5370781,27.9834776,"Tampa International Airport (TPA), 4100 George J Bean Pkwy, Tampa, FL 33607, USA"
"243","ATL<U+0001F4CD>",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"244","atlanta",4,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"245","Atlanta",8,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"246","atlanta ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"247","Atlanta Georgia",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"248","atlanta, ga",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"249","Atlanta, GA",98,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"250","Atlanta, Georgia",6,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"251","Atlanta, Georgia ",1,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"252","Atlanta,GA",2,-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA"
"253","Atlantic Canada",2,-79.3509596,43.7552984,"864 York Mills Rd, North York, ON M3B 1Y4, Canada"
"254","Atlantic City, New Jersey",1,-74.4229266,39.3642834,"937 Atlantic Ave, Atlantic City, NJ 08401, USA"
"255","Atlantis",2,-77.32349,25.084653,"Unnamed Road, The Bahamas"
"256","Atwater Village, CA",1,-118.2614332,34.1172904,"3172 Glendale Blvd, Los Angeles, CA 90039, USA"
"257","ATX",1,-97.6718832,30.3535562,"9701 Dessau Rd, Austin, TX 78754, USA"
"258","Auburn Maine",2,-70.2311655,44.0978509,"220 US-202, Auburn, ME 04210, USA"
"259","Auburn, AL",2,-85.4807825,32.6098566,"224 N College St, Auburn, AL 36830, USA"
"260","Auburn, WA",1,-122.2284532,47.3073228,"102 E Main St, Auburn, WA 98002, USA"
"261","Auburndale, FL",1,-81.7886906,28.0652975,"103 Main St, Auburndale, FL 33823, USA"
"262","Augusta County, Virginia",1,-79.2451149,38.2004562,"Leverock Ln, Swoope, VA 24479, USA"
"263","Augusta, GA",5,-82.0105148,33.4734978,"1010 Hickman Rd, Augusta, GA 30904, USA"
"264","augusta,ga",2,-82.0105148,33.4734978,"1010 Hickman Rd, Augusta, GA 30904, USA"
"265","Aurora, Colorado",2,-104.8319195,39.7294319,"899 Vaughn St, Aurora, CO 80011, USA"
"266","Aurora, IL",1,-88.3200715,41.7605849,"299 W Galena Blvd, Aurora, IL 60506, USA"
"267","Aurora, Ohio",1,-81.3453858,41.3175549,"9 E Garfield Rd, Aurora, OH 44202, USA"
"268","aus",1,-97.6663529,30.1974711,"Austin-Bergstrom International Airport (AUS), 3600 Presidential Blvd, Austin, TX 78719, USA"
"269","AUS",2,-97.6663529,30.1974711,"Austin-Bergstrom International Airport (AUS), 3600 Presidential Blvd, Austin, TX 78719, USA"
"270","Austin",4,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"271","Austin ",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"272","Austin & Houston TX",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"273","Austin Texas",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"274","austin tx",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"275","Austin Tx",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"276","Austin, Texas",2,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"277","Austin, Texas...ya'll",1,-97.7458169,30.2823812,"1805 West Ave, Austin, TX 78701, USA"
"278","Austin, Tx",3,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"279","Austin, TX",62,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"280","Austin, TX/Las Vegas, NV",1,-97.8003677,30.4647723,"10700 Pecan Park Blvd, Austin, TX 78750, USA"
"281","austin,tx",1,-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA"
"282","australia",3,133.775136,-25.274398,"Ghan NT 0872, Australia"
"283","Australia",59,133.775136,-25.274398,"Ghan NT 0872, Australia"
"284","Australia ",2,133.775136,-25.274398,"Ghan NT 0872, Australia"
"285","Aventura, FL",1,-80.1392121,25.9564812,"W Country Club Dr & Aventura Mall Ent, Aventura, FL 33180, USA"
"286","Avon Lake",1,-82.0282001,41.5053178,"194 Beachwood Ave, Avon Lake, OH 44012, USA"
"287","Avondale, AZ",1,-112.3496021,33.4355977,"14 E Western Ave, Avondale, AZ 85323, USA"
"288","Ayrshire",2,-4.6679959,55.3649698,"B7024, Maybole KA19 8DH, UK"
"289","AZ,NM ",1,-109.0467836,34.1669998,"US-60, Quemado, NM 87829, USA"
"290","Azaadi Azaadi Azadi ",1,-96.004306,36.025427,"2605 W Main St, Jenks, OK 74037, USA"
"291","Babylon NY",1,-73.3673169,40.7107127,"478 NY-109, Lindenhurst, NY 11757, USA"
"292","Bae Area, CA",1,-119.4179324,36.778261,"2630 Croydon Drive, Sanger, CA 93657, USA"
"293","Bahamas",3,-77.39628,25.03428,"Jubilee Boulevard, Nassau, The Bahamas"
"294","Bahamas<U+0001F1E7><U+0001F1F8>",1,-77.39628,25.03428,"Jubilee Boulevard, Nassau, The Bahamas"
"295","Bainbridge Island, WA",1,-122.5210007,47.6248791,"103 Madison Ave N, Bainbridge Island, WA 98110, USA"
"296","Bainbridge, OH",1,-83.2704663,39.2275658,"Hamilton Financial Planning, Bainbridge, OH 45612, United States"
"297","Baja Mexico",1,-113.5000018,27.9999938,"Mulegé Municipality, Baja California Sur, Mexico"
"298","Bakersfield",1,-119.0187125,35.3732921,"1401-1499 Truxtun Ave, Bakersfield, CA 93301, USA"
"299","Bakersfield, CA",4,-119.0187125,35.3732921,"1401-1499 Truxtun Ave, Bakersfield, CA 93301, USA"
"300","balay nako",1,120.9514434,14.1017813,"Magallanes Dr, Tagaytay, Cavite, Philippines"
"301","Baldwin Park, CA",2,-117.9608978,34.0852868,"3972 Maine Ave, Baldwin Park, CA 91706, USA"
